Category,Business,Owner/person,What & where,Status,Story angle,Social/Web,Press footprint,Tier
Food & Drink,The Reading Room,Linden Marno-Feree,Bar + bookstore · 3210B Brainerd Rd,Open,Bookseller-bartender sources books via the Public Library Foundation and returns a cut of sales to it.,readingroombar.com,Some,1
Food & Drink,The Woodshop,Jhett Black,Bar + restaurant + listening room · 5500 St. Elmo Ave,Open,"Award-winning bluesman owner hosts weekly 'Tuesday Bluesday'; church-pew seats, family-recipe BBQ.",thewoodshoplisteningroom.com,Some,1
Food & Drink,Pedestrian Wine & Cheese,(owner unconfirmed),Wine shop + house-made cheese · 50 Frazier Ave,Open,Billed as the first TN liquor store licensed to sell its own house-made cheese; 60+ wine-club members.,pedestrianwineandcheese.com,Some,1
Food & Drink,Oh Wow Donuts,Linda Seng,"Scratch donuts + coffee · 1213 Taft Hwy, Signal Mtn",Open,"Named for the reaction she wants; full yeast-donut spread, standout apple fritter; town-recognized opening.",FB / IG,Some,1
Food & Drink,MOTHER (Hungry Mother),Family-owned,"Café · 825 Houston St, downtown",Open,Family café roasting NC's HEX coffee and baking warm bread in-house. (Confirm legal vs. trade name.),IG / joe.coffee,Low,1
Food & Drink,New Wave Coffee,Luke Pigott (roaster),"Roaster + new café · 2405 Lyndon Ave, Red Bank",Open / expanding,Award-winning roaster; the 2025 news is the brick-and-mortar (company founded 2020).,newwave-chatt.com,Some,1
Food & Drink,Panadería Marquense,(owner unconfirmed),Guatemalan bakery · 3208 Rossville Blvd,Open,Authentic Guatemalan baking (chicharrones criollo); daily fresh bread + café — immigrant-maker story.,panaderiamarquense.com,Low,1
Food & Drink,Hangry Pinoy,Neenuel Pattawi & Everly Guillermo,Filipino food truck · 3639 Hixson Pike,Open (2024),"Owner from Isabela, Philippines; scratch sauces sourced from the Asian market next door. (Opened 2024.)",IG @hangrypinoyfood,Some,1
Food & Drink,Mama O's Sarap Stop,(owner unconfirmed),Filipino food trailer · Cleveland/Chattanooga,Open,"Filipino immigrant cuisine, '10/10' local reviews; owner story not yet documented — interview-ready.",IG @mamaossarapstop,Low,2
Food & Drink,"Stone Age Korean BBQ, Hot Pot & Sushi",(owner unconfirmed),AYCE Korean BBQ + hot pot + sushi · 2011 Gunbarrel Rd,Open,"Three concepts under one roof, new to the Gunbarrel corridor.",IG @stoneage_chattanooga,Low,2
Food & Drink,Roasted Root Coffee,(owner unconfirmed),Farm-to-cup roaster/café · 2947 Cummings Hwy,Open,Local roaster also stocked at Sprout General Store (Wauhatchie Woodlands).,roastedrootcafe.com,Low,2
Food & Drink,Archie's Rig Barbecue,Scott Archibald,Owner-built BBQ food truck · Hixson,Open,"Classic owner-built-rig maker story — brisket, pulled pork, ribs.",IG @archiesbarbeque,Low,2
Food & Drink,Shredders' Lair,(owner unconfirmed),Used-music shop + café + beer · 3230 Brainerd Rd,Open/Coming,'Shred til ya dead' — instrument shop & repair meets coffee/beer hangout.,shredderslair.biz,Low,2
Retail & Boutique,Gothic Trading Company,Lisa Porter,"Goth/alt apparel, decor, gifts · 514 Tremont St, NorthShore",Open,The 'goth Cracker Barrel' next to Aretha Frankensteins — corsets to Beetlejuice; two TFP columns.,gothictrading.com,Some,1
Retail & Boutique,Dallos Vinyl Love,Marlo White,Independent record store · 1463 Market St,Open,A crate-digger's haven downtown — rare soul/hip-hop/rock grooves.,dallosvinyllove.com,Some,1
Retail & Boutique,Birch & Willow Mercantile,Sisters Sarah & Lanita,"Home/garden, gifts, local makers · Sale Creek",Open,"Named for their parents' favorite trees — birch (woodworking dad), willow (gardening mom). Satellite-town gem.",birchwillowmercantile.com,Low,1
Retail & Boutique,Bloom Bible Bookstore & Floral,(owner unconfirmed),Bibles/faith gifts + fresh florals · 12th & Broad,Open,'Scripture meets style' — flowers + Bibles with free engraving; hosts book signings.,bloombiblebooks.shop,Low,1
Retail & Boutique,The Consign House,Melissa Poole,"Curated consignment · 5228 Hixson Pike, Hixson",Open,Native Chattanoogan; quirky perk — rents hand-selected English bone-china teacups.,theconsignhouse.com,Low,1
Retail & Boutique,Slater the Creator,Anna Claire Black,Upcycled one-of-one apparel · Chattanooga,Open,Solo sewist upcycling vintage textiles; delivers orders personally.,slaterthecreator.com,Low,2
