Outlet,Type,Revenue model,Focus,Overlap with the Scout,Confidence
NOOGAtoday (6AM City),Free daily email + web,Ads / sponsorship; free to reader,"'Need-to-know' news, things-to-do, events; broad audience","HIGH — same daily-newsletter habit & events hook. The scaled, professional incumbent.",High
Chattanooga Times Free Press,Daily news org; print + digital,Subscription / paywall + ads,Region's paper of record; full local + events (ChattNow),"MED — reader-paid like us, but legacy & retreating (weekday single-copy retail ended Jan 2026; Sunday print only).",High
Chattynooga,Weekly email newsletter,Free; word-of-mouth + paid Meta ads; occasional creative sponsorship,"'Porch-level' feel-good stories, neighbors, events; ~900 subs","HIGH (tone) — closest in spirit (warm, curated, hyperlocal). Also stewards Roundabout NorthChatt. The peer to know.",High
Roundabout / New_ Public,Local community app (AT Protocol),Grant / philanthropy; free; revenue model undefined,Channels + events calendar + guides; suburban ring; closed beta,"LOW-MED — community feed, not editorial. Adjacent; possible channel/tip-line, not a substitute.",High
CHA Guide,Weekly email + mobile app,Free; local-partner content,"Upbeat 'positive news,' events, restaurants, experiences",MED — curated discovery overlap; free/partner-funded.,Med
HERE Chattanooga,Local news site + newsletter (HERE network),Advertising + paid services / press releases,"Local news, business, lifestyle; Hamilton County",MED — ad-funded local news; events & business overlap.,Med
The Pulse,"Alt-weekly, now online-only (Brewer Media)",Ads; free,"Arts, music, culture, dining; young professionals",MED — culture/events calendar overlap; print suspended 2020.,High
The Chattanoogan,Free web-only daily,Free; ad-supported (inferred),"Breaking news, obituaries, gov't, business; since 1999","LOW — hard news/record, not curated lifestyle.",Med
Chattanooga City Lifestyle,Glossy lifestyle mag/site (franchise),Advertising (franchise),Affluent lifestyle features,LOW-MED — advertiser-driven by design; opposite of our bright line.,Med
Visit Chattanooga / Nextdoor / FB groups,Tourism calendar + social platforms,Tourism-funded / free ad platforms,Events listings; neighbor chatter & recommendations,"MED (events) / LOW (editorial) — discovery & community substitutes, not finished editorial.",Med
