Category,Business,Person,Area,Story angle,Source,Confidence,Flagship
Restaurants & Chef-Owners,Calliope,Khaled Albanna — chef & co-owner,Downtown/Southside,"Amman-born, came to UTC for civil engineering, switched to cooking; modern Levantine-meets-South named among the NYT's top 50 U.S. restaurants.",https://www.callioperestaurant.com/about,High,Yes
Restaurants & Chef-Owners,Alleia,Daniel Lindley — chef-owner,Southside (Main St),"Native Chattanoogan who started at 17 as a dishwasher, cooked around the world, opened Alleia in 2009; multiple James Beard nominee.",https://alleiarestaurant.com/about-2/,High,Yes
Restaurants & Chef-Owners,Little Coyote,Erik & Amanda Niel — owners,St. Elmo,Chef Niel's Texas 'love letter' — wood-pit smoke and fresh tortillas; Michelin Bib Gourmand. (Same owners as Easy Bistro & Main Street Meats.),https://littlecoyote.com/st-elmo-restaurant-chattanooga-tennessee,High,
Restaurants & Chef-Owners,Hello Monty,Rob & Clay Gentry — owners (brothers),Southside (Main St),"A veteran restaurateur and an award-winning brewmaster, lifelong locals, opened a wood-fired spot named for a beloved local booster.",https://www.hellomontyonmain.com/our-story,High,
Restaurants & Chef-Owners,Boathouse Rotisserie & Raw Bar,Lawton & Karen Haygood — owners,Northshore (Riverside Dr),"Found a riverfront lot, tore it down, and 'spent all the money they had' to build a Tennessee River institution.",https://www.boathousechattanooga.com/about-us/,High,
Restaurants & Chef-Owners,1885 Grill,Miguel Morales — owner,St. Elmo / multiple,SC-raised son of a Puerto Rican father; coastal-Southern-meets-Spanish; known for saving ~460 jobs through the pandemic. (Verify current address.),https://1885grill.com/our-story,High,
Restaurants & Chef-Owners,The Tap House,Chris Calhoun — owner,St. Elmo,A 20-year Marine Corps veteran who came home to open a veteran-owned beer bar and kitchen (2017).,https://taphousechatt.com/chattanooga-chattanooga-the-tap-house-about,Med,
Restaurants & Chef-Owners,Elsie's Daughter,Chloe Wright & Ryan Smith — owners,Southside (Choo Choo),Wright's father ran a restaurant on the Choo Choo campus in the '80s; she performed there as a teen — now her own bistro/cocktail bar (Smith built the bar program after NYC's The Wren).,https://www.elsiesdaughters.com/,High,
"Bars, Breweries & Distilleries",Chattanooga Whiskey,Tim Piersant — co-founder/CEO (w/ Joe Ledbetter),Downtown,Led the grassroots 'Vote Whiskey' campaign that overturned a century-old local distilling ban; built the first legal Chattanooga distillery in ~100 years. 'Whiskey to the People.',https://chattanoogawhiskey.com/history/,High,Yes
"Bars, Breweries & Distilleries",Gate 11 Distillery,Bill & Wanda Lee — founders,Southside (Choo Choo),"A Sequatchie Valley native and former chemical engineer turned distiller; his retired-schoolteacher wife formulates their award-winning gin, inside historic Terminal Station.",https://www.gate11distillery.com/story,High,
