Tier/group,Business,Founded,Years open,Town,Category,Status,Scout angle,Confidence
100+ years — Centenarians,Miller & Martin,1867,159,"Chattanooga, TN",Law / professional,OPEN,Chattanooga's oldest law firm; early clients included the original Coca-Cola bottler. Angle: the firm that lawyered the handshake that built a global beverage system.,High
100+ years — Centenarians,Fischer Evans Jewelers,1869,157,"Chattanooga, TN",Retail — jewelry,OPEN,"The oldest independently owned retail store in the city, same Market St. block since 1869, now 3rd-gen Glover family. Angle: the engagement-ring counter that has seen five generations of the same families propose.",High
100+ years — Centenarians,Chattanooga Times Free Press,1869,157,"Chattanooga, TN",Media,OPEN,"A 20-year-old Adolph Ochs bought it in 1878 before going on to The New York Times; cut to Sunday-only print Jan 2026. Angle: handled carefully — we're the new kid; tip the cap to the paper of record, don't pick a fight.",High
100+ years — Centenarians,Read House Hotel,1872,154,"Chattanooga, TN",Hospitality,OPEN,"The longest continuously operated hotel in the South (150 yrs in 2022); current tower is 1926. Angle: the ghost-story/room-311 lore + the jazz-era lobby, not the press-release renovation.",High
100+ years — Centenarians,Chambliss Center for Children,1872,154,"Chattanooga, TN",Childcare / nonprofit,OPEN,"Started by church women as an orphans' home; ran 24-hour childcare when working mothers had nowhere else. Angle: the quiet 150-yr institution nobody writes about — a giving/volunteer tie-in, not a 'cute history' piece.",High
100+ years — Centenarians,"Leitner, Williams, Dooley & Napolitan",1882,144,"Chattanooga, TN",Law / professional,OPEN,Founding partner W.G.M. Thomas incorporated the town of Lookout Mountain and represented it pro bono for life. Angle: the lawyer who gave a whole town away.,Med
100+ years — Centenarians,Adams Lithographing,1886,140,"Chattanooga, TN",Printing,OPEN,"Installed the city's first rotary press (1935); 3rd-gen Hogue family. Angle: 'Who Made This' — the ink behind a century of Chattanooga's posters, packaging, and programs.",Med
100+ years — Centenarians,Erlanger Health System,1899,127,"Chattanooga, TN",Healthcare,OPEN,"Born from a French baron's $5,000 gift; region's first open-heart surgery (1960). Angle: 'where Chattanooga was born' — generations literally delivered here. (Verify the current Erlanger name/governance — see status pass.)",High
100+ years — Centenarians,Chattanooga Bakery / MoonPie,1902,124,"Chattanooga, TN",Food mfg. / retail,OPEN,"Bakery OPEN, ~1M+ MoonPies/day, 5th-gen, still independent — the Broad St. General Store closed/relocated May 2025 (confirm new riverfront address). COMMODITY: everyone covers the MoonPie. New angle only: the bakery floor, the family, or the store's move — not the origin myth again.",High
100+ years — Centenarians,Fort Payne Opera House,1889,137,"Fort Payne, AL",Entertainment / venue,OPEN,"Oldest in-use theater in Alabama, built in the coal-and-iron boom. Angle: a Getaway Field Guide tie-in (Fort Payne / Little River Canyon day trip).",Med
100+ years — Centenarians,Chattanooga Choo-Choo,1909,117,"Chattanooga, TN",Hospitality / entertainment,OPEN,"Terminal Station 1909 → hotel/entertainment complex 1973; now the Hotel Chalet. COMMODITY: heavily covered. New angle only: a specific room, venue, or person inside, never the 'famous song' lede.",High
100+ years — Centenarians,Fillauer,1914,112,"Chattanooga, TN",Healthcare / prosthetics,OPEN,"Started as the Red Cross Pharmacy; pivoted to fitting braces for WWI vets, now a global prosthetics leader (acquired by Hanger Inc., Feb 2024, still operating under its own name here). Angle: a maker-of-mobility human story — a local patient who walks because of a 110-yr-old neighbor company.",Med
100+ years — Centenarians,Zarzour's Café,1918,108,"Chattanooga, TN",Restaurant,SOLD,"TN's longest-running family restaurant — opened in the 1918 flu year, never moved. SOLD late 2025; new owners pledged to keep the name and reopen after renovation. COMMODITY + sensitive: only cover the reopening, with respect for the Zarzour/Fuller legacy. (Per our once-rule, don't lean on it.)",High
