Tier,Business,Owner,What & where,Status,Story angle,Social/Web,Press footprint
1 - Feature now,Creature Comforts Beer Garden,Adam Beauchamp (CEO),Brewery / beer garden · Foundries District (Pipe Way),Open (Apr 2026),"Beloved Athens, GA brewery plants its first TN flag in a reborn foundry by the Lookouts' new stadium; permanent Riverwalk spot coming.",creaturecomfortsbeer.com,Some
1 - Feature now,Pauly's,Paul Graves,Bar · 1627 Rossville Ave (the former Zarzour's),Coming (confirm),"Moving into Chattanooga's oldest restaurant address — Zarzour's, est. 1918, closed after 107 years. The marquee heritage story of the batch.",IG @paulysbarroom_,Low
1 - Feature now,The Trinity,Ken Newburger & Carlitos Fernandez (chef Andrew Tucker),Restaurant (New Orleans Creole) · 1278 Market St,Open (Spring 2026),Two college friends bring NOLA cooking downtown; named for the Cajun 'holy trinity.',IG @thetrinitychatt,Some
1 - Feature now,Goonzquad Gear,Simeon & Eleazar Drevenchuk,Apparel / merch · 4108 9th Ave,Open,Two immigrant brothers behind a multi-million-subscriber Chattanooga car-rebuild YouTube empire; merch designed & shipped locally — huge built-in audience.,goonzquad.com / @goonzquad,Some
1 - Feature now,Electric Crocodile,Michelle & Paul Kuffrey,Vintage resale collective · new 2nd loc 1791 Reggie White Blvd,Open (expanding),Neon-pink vintage collective (40+ local vendors) that survived a storm tearing through its stock — now opening a second location near the breweries.,FB The Electric Crocodile,Some
1 - Feature now,Petal and Pour,Candace Barber & Keegan Chitwood,Floral atelier + café · 800 Broad St,Open (2026),Billed as Chattanooga's first immersive floral atelier + café; founders travel to NYC yearly for inspiration.,@thepetalandpour,Some
1 - Feature now,C. Winston Smith Bespoke Tailoring,C. Winston Smith,"Bespoke tailor / clothing maker · 5020 University Dr, Collegedale",Open,"A master tailor, 46+ years in the trade — started in 1972 Brooklyn, also a 20-yr fashion-design professor — who relocated his craft to Collegedale.",Yelp / FB,Some
1 - Feature now,The Quilty Pleasure,Stella Rankin,Maker — clothing from vintage quilts · Soddy Daisy,Open,Hoodies and jackets sewn from tattered antique quilts others would toss — 'each piece stitched with a little history.',thequiltypleasure.com,Low
1 - Feature now,Smoking Crow Creations,Matthew Johns,Maker — artisan briar tobacco pipes · Hixson,Open,A solo briar-pipe carver working a niche heritage craft (handle hints at a fire/sideshow-performer crossover).,smokingcrowcreations.com,Low
1 - Feature now,Broken & Bottled,Tiffany Reid,Maker — custom art · Chattanooga,Open,Chattanooga Market artist (Strawberry Festival vendor): 'it becomes their piece of art — I'm just making it for them.',@tiffanyreidart,Some
