PELFREY DRUM WORKS :: Custom hand-built snare drums by a local craftsman, a true niche maker story :: 1 :: Hixson, TN
RECONNECT NATURE SCHOOL :: Outdoor nature-immersion enrichment school, distinctive education concept :: 1 :: Chattanooga, TN
SIGNAL SWIRL :: Self-serve frozen yogurt on Signal Mountain, charming hyperlocal treat spot :: 1 :: Signal Mountain, TN
THE MATCHA SPOT :: Pop-up matcha beverage bar at markets and events, on-trend mobile concept :: 1 :: Chattanooga, TN
BACKROAD CHEESESTEAKS :: Independent cheesesteak joint with a fun roadside identity :: 1 :: Rossville, GA
QUIRKY BIRD TATTOO :: Distinctive, character-rich independent tattoo studio :: 1 :: Chattanooga, TN
COLORLEAF :: Local artist creating original artwork, maker/studio story potential :: 2 :: Chattanooga, TN
THERMAL TRACK DRONE SEARCH AND RECOVERY :: Thermal drones to find lost pets and livestock, genuinely novel local service :: 1 :: Sale Creek, TN
CARTOON.GURU :: Live event caricature artist, quirky and fun experience vendor :: 2 :: Chattanooga, TN
TIMELESS TEEPEE TENTS :: Teepee sleepover party setups, whimsical kids-event concept :: 2 :: Chattanooga, TN
NOVA THEATRE FOR YOUNG PEOPLE :: Independent children's theatre company, community arts gem :: 1 :: Chattanooga, TN
PEARL'S JAM :: Small-batch jam sold at festivals, classic local maker charm :: 2 :: Ooltewah, TN
ANNETTE ROCKS :: Rock and mineral collections and sales, delightfully niche curiosity shop :: 2 :: Hixson, TN
EASY TIGER TATTOOS :: Independent tattoo studio with strong personality and name :: 2 :: Chattanooga, TN
UMLAUT AIR COOLED :: Vintage air-cooled (VW/Porsche) auto restoration, enthusiast maker story :: 1 :: Hixson, TN
LITTLE LIONS DEN :: Indoor children's play place, family destination concept :: 2 :: Chattanooga, TN
SAGE AND SUGARCANE :: Independent local artist, maker/studio profile potential :: 2 :: Chattanooga, TN
CC'S LEMONADE BAR :: Fresh-squeezed lemonade stand, sweet hyperlocal pop-up :: 2 :: Chattanooga, TN
ECOSIP EXPERIENCE :: Mobile beverage service for events with eco angle, distinctive vendor :: 2 :: Chattanooga, TN
A&A INTERNATIONAL MARKET :: International food store, cultural grocery destination members love :: 2 :: East Ridge, TN
